,Airlines,Departure_Time,Route,Arrival_Time,Flight_Duration,Total_Stops,Price
0,GO FIRST,10:40,DEL–GOI, 1:20,2hr 40min,Nonstop,"₹15,984"
1,SpiceJet,12:05,DEL–GOI, 2:25,2hr 20min,Nonstop,"₹16,383"
2,IndiGo,12:25,DEL–GOI, 2:50,2hr 25min,Nonstop,"₹16,383"
3,Vistara,11:10,DEL–GOI, 1:50,2hr 40min,Nonstop,"₹17,040"
4,GO FIRST,5:25,DEL–GOI,5:25,12hr,1 stop,"₹16,246"
5,GO FIRST,6:15,DEL–GOI,5:25,11hr 10min,1 stop,"₹16,246"
6,GO FIRST,8:00,DEL–GOI,7:05,11hr 5min,1 stop,"₹16,246"
7,AirAsia (India),8:00,DEL–GOI,10:35,2hr 35min,Nonstop,"₹16,275"
8,Vistara,6:40,DEL–GOI,9:20,2hr 40min,Nonstop,"₹16,305"
9,SpiceJet,9:00,DEL–GOI,11:35,2hr 35min,Nonstop,"₹16,383"
10,IndiGo,4:20,DEL–GOI,6:40,2hr 20min,Nonstop,"₹16,383"
11,IndiGo,7:00,DEL–GOI,9:30,2hr 30min,Nonstop,"₹16,383"
12,IndiGo,9:45,DEL–GOI,12:20,2hr 35min,Nonstop,"₹16,383"
13,Air India,10:00,DEL–GOI, 12:4,2hr 40min,Nonstop,"₹16,476"
14,SpiceJet,5:45,DEL–GOI,6:15,12hr 30min,1 stop,"₹16,508"
15,SpiceJet,5:35,DEL–GOI,8:35,15hr,1 stop,"₹16,966"
16,IndiGo,11:00,DEL–GOI, 1:25,2hr 25min,Nonstop,"₹17,013"
17,SpiceJet,4:30,DEL–GOI,8:35,4hr 5min,1 stop,"₹17,032"
18,IndiGo,5:25,DEL–GOI,1:00,7hr 35min,1 stop,"₹17,197"
19,IndiGo,7:35,DEL–GOI,1:00,5hr 25min,1 stop,"₹17,197"
20,AirAsia (India),12:50,DEL–GOI, 3:25,2hr 35min,Nonstop,"₹17,325"
21,IndiGo,10:00,DEL–GOI, 12:3,2hr 30min,Nonstop,"₹17,433"
22,IndiGo,9:55,DEL–GOI,6:15,8hr 20min,1 stop,"₹17,726"
23,SpiceJet,8:25,DEL–GOI,12:25,4hr,1 stop,"₹17,768"
24,SpiceJet,8:10,DEL–GOI,7:20,11hr 10min,1 stop,"₹18,226"
25,IndiGo,5:15,DEL–GOI,1:55,8hr 40min,1 stop,"₹18,335"
26,SpiceJet,4:30,DEL–GOI,7:20,14hr 50min,1 stop,"₹18,501"
27,AirAsia (India),10:40,DEL–GOI, 1:15,2hr 35min,Nonstop,"₹18,689"
28,IndiGo,8:10,DEL–GOI,1:55,5hr 45min,1 stop,"₹19,553"
29,IndiGo,6:30,DEL–GOI,2:05,7hr 35min,1 stop,"₹19,755"
30,IndiGo,9:50,DEL–GOI,2:05,4hr 15min,1 stop,"₹19,755"
31,IndiGo,10:30,DEL–GOI, 6:50,8hr 20min,1 stop,"₹20,288"
32,Air India,9:15,DEL–GOI,10:20,25hr 5min,1 stop,"₹20,574"
33,Air India,10:30,DEL–GOI, 10:2,23hr 50min,1 stop,"₹20,574"
34,IndiGo,6:05,DEL–GOI,10:55,4hr 50min,1 stop,"₹21,391"
35,GO FIRST,5:25,DEL–GOI,7:15,13hr 50min,1 stop,"₹21,457"
36,GO FIRST,6:15,DEL–GOI,7:15,13hr,1 stop,"₹21,457"
37,GO FIRST,1:20,DEL–GOI,7:15,5hr 55min,1 stop,"₹21,457"
38,GO FIRST,8:50,DEL–GOI,10:00,13hr 10min,1 stop,"₹21,457"
39,GO FIRST,10:15,DEL–GOI, 10:0,11hr 45min,1 stop,"₹21,457"
40,GO FIRST,10:45,DEL–GOI, 10:0,11hr 15min,1 stop,"₹21,457"
41,SpiceJet,5:05,DEL–GOI,12:25,7hr 20min,1 stop,"₹21,549"
42,IndiGo,3:00,DEL–GOI,10:55,7hr 55min,1 stop,"₹21,706"
43,SpiceJet,9:40,DEL–GOI,12:55,15hr 15min,1 stop,"₹22,042"
